class_id,subject_id,teacher_id,class_name,date_from,date_to
sprs_508207_class_381,sprs_508207_subject_981,sprs_508207_teacher_414,6,8/14/2007,10/19/2017
sprs_508207_class_369,sprs_508207_subject_343,sprs_508207_teacher_815,9,2/18/2002,6/14/2017
sprs_508207_class_599,sprs_508207_subject_769,sprs_508207_teacher_962,8,9/5/2000,10/9/2007
sprs_508207_class_047,sprs_508207_subject_061,sprs_508207_teacher_081,8,9/16/2005,8/4/2008
sprs_508207_class_448,sprs_508207_subject_700,sprs_508207_teacher_487,6,2/19/2002,11/4/2001
sprs_508207_class_319,sprs_508207_subject_505,sprs_508207_teacher_957,7,12/7/2005,11/1/2010
sprs_508207_class_636,sprs_508207_subject_267,sprs_508207_teacher_739,7,12/3/2006,7/4/2010
sprs_508207_class_028,sprs_508207_subject_734,sprs_508207_teacher_114,10,11/16/2011,11/7/2006
sprs_508207_class_725,sprs_508207_subject_033,sprs_508207_teacher_466,10,9/6/2002,9/6/2017
sprs_508207_class_591,sprs_508207_subject_682,sprs_508207_teacher_983,9,11/5/2016,4/3/2007
sprs_508207_class_981,sprs_508207_subject_888,sprs_508207_teacher_138,8,6/17/2012,2/17/2005
sprs_508207_class_360,sprs_508207_subject_649,sprs_508207_teacher_859,10,7/12/2009,8/1/2014
sprs_508207_class_821,sprs_508207_subject_410,sprs_508207_teacher_843,7,1/24/2014,5/8/2012
sprs_508207_class_763,sprs_508207_subject_857,sprs_508207_teacher_220,10,12/26/2006,12/11/2007
sprs_508207_class_811,sprs_508207_subject_979,sprs_508207_teacher_000,10,1/17/2008,10/23/2015
sprs_508207_class_023,sprs_508207_subject_506,sprs_508207_teacher_252,9,10/8/2010,9/4/2012
sprs_508207_class_813,sprs_508207_subject_743,sprs_508207_teacher_184,10,11/24/2013,8/26/2008
sprs_508207_class_173,sprs_508207_subject_290,sprs_508207_teacher_096,8,10/29/2002,4/17/2006
sprs_508207_class_148,sprs_508207_subject_199,sprs_508207_teacher_479,6,6/14/2003,10/3/2015
sprs_508207_class_505,sprs_508207_subject_436,sprs_508207_teacher_841,6,6/11/2004,9/2/2014
sprs_508207_class_736,sprs_508207_subject_593,sprs_508207_teacher_613,7,12/9/2013,2/15/2012
sprs_508207_class_981,sprs_508207_subject_401,sprs_508207_teacher_955,9,5/28/2006,12/22/2008
sprs_508207_class_873,sprs_508207_subject_807,sprs_508207_teacher_480,6,12/1/2009,5/7/2001
sprs_508207_class_511,sprs_508207_subject_077,sprs_508207_teacher_034,6,7/20/2013,10/22/2015
sprs_508207_class_438,sprs_508207_subject_425,sprs_508207_teacher_277,9,6/11/2014,11/20/2005
sprs_508207_class_723,sprs_508207_subject_739,sprs_508207_teacher_005,6,11/20/2007,4/29/2006
sprs_508207_class_570,sprs_508207_subject_997,sprs_508207_teacher_386,10,2/20/2016,7/2/2014
sprs_508207_class_883,sprs_508207_subject_794,sprs_508207_teacher_675,6,2/28/2005,10/30/2009
sprs_508207_class_154,sprs_508207_subject_683,sprs_508207_teacher_809,9,8/3/2007,1/23/2012
sprs_508207_class_013,sprs_508207_subject_031,sprs_508207_teacher_560,6,11/27/2002,10/21/2010
sprs_508207_class_650,sprs_508207_subject_929,sprs_508207_teacher_916,9,9/13/2001,12/4/2011
sprs_508207_class_944,sprs_508207_subject_720,sprs_508207_teacher_358,8,4/4/2002,10/15/2011
sprs_508207_class_940,sprs_508207_subject_290,sprs_508207_teacher_709,9,4/8/2016,3/1/2012
sprs_508207_class_367,sprs_508207_subject_774,sprs_508207_teacher_629,6,12/9/2014,7/3/2004
sprs_508207_class_889,sprs_508207_subject_514,sprs_508207_teacher_608,7,10/16/2016,5/29/2011
sprs_508207_class_506,sprs_508207_subject_479,sprs_508207_teacher_604,7,8/21/2007,10/20/2010
sprs_508207_class_038,sprs_508207_subject_065,sprs_508207_teacher_506,10,2/24/2002,2/1/2011
sprs_508207_class_132,sprs_508207_subject_628,sprs_508207_teacher_847,9,3/11/2014,8/21/2009
sprs_508207_class_306,sprs_508207_subject_475,sprs_508207_teacher_810,9,10/1/2013,12/22/2016
sprs_508207_class_497,sprs_508207_subject_327,sprs_508207_teacher_626,9,12/31/2013,5/4/2004
sprs_508207_class_003,sprs_508207_subject_455,sprs_508207_teacher_292,9,10/21/2006,11/26/2002
sprs_508207_class_062,sprs_508207_subject_810,sprs_508207_teacher_299,7,11/10/2016,11/1/2007
sprs_508207_class_473,sprs_508207_subject_796,sprs_508207_teacher_077,9,1/3/2001,7/30/2010
sprs_508207_class_148,sprs_508207_subject_321,sprs_508207_teacher_248,10,8/26/2010,4/7/2010
sprs_508207_class_488,sprs_508207_subject_326,sprs_508207_teacher_338,9,5/1/2016,8/21/2016
sprs_508207_class_004,sprs_508207_subject_647,sprs_508207_teacher_112,8,5/28/2012,6/10/2005
sprs_508207_class_282,sprs_508207_subject_255,sprs_508207_teacher_537,9,2/4/2008,2/4/2008
sprs_508207_class_448,sprs_508207_subject_893,sprs_508207_teacher_746,6,7/23/2008,5/1/2012
sprs_508207_class_118,sprs_508207_subject_598,sprs_508207_teacher_718,9,3/18/2012,3/19/2015
sprs_508207_class_504,sprs_508207_subject_192,sprs_508207_teacher_086,9,2/21/2005,4/12/2015
sprs_508207_class_491,sprs_508207_subject_743,sprs_508207_teacher_014,8,5/6/2007,3/6/2013
sprs_508207_class_655,sprs_508207_subject_718,sprs_508207_teacher_048,8,4/1/2003,12/10/2002
sprs_508207_class_946,sprs_508207_subject_978,sprs_508207_teacher_124,10,4/21/2015,9/17/2015
sprs_508207_class_270,sprs_508207_subject_213,sprs_508207_teacher_180,6,8/31/2007,1/24/2005
sprs_508207_class_759,sprs_508207_subject_366,sprs_508207_teacher_634,9,9/12/2004,4/19/2007
sprs_508207_class_867,sprs_508207_subject_596,sprs_508207_teacher_113,10,9/11/2015,3/15/2013
sprs_508207_class_578,sprs_508207_subject_906,sprs_508207_teacher_960,6,3/8/2001,4/21/2006
sprs_508207_class_373,sprs_508207_subject_231,sprs_508207_teacher_842,6,6/13/2011,12/9/2006
sprs_508207_class_329,sprs_508207_subject_651,sprs_508207_teacher_438,7,6/3/2000,9/27/2005
sprs_508207_class_772,sprs_508207_subject_298,sprs_508207_teacher_360,9,6/10/2009,12/1/2017
sprs_508207_class_885,sprs_508207_subject_888,sprs_508207_teacher_497,10,9/21/2008,1/5/2003
sprs_508207_class_788,sprs_508207_subject_680,sprs_508207_teacher_910,6,4/5/2011,4/30/2014
sprs_508207_class_754,sprs_508207_subject_895,sprs_508207_teacher_036,8,6/5/2003,7/1/2017
sprs_508207_class_183,sprs_508207_subject_169,sprs_508207_teacher_419,9,4/23/2014,1/15/2015
sprs_508207_class_525,sprs_508207_subject_855,sprs_508207_teacher_709,9,6/15/2013,4/27/2012
sprs_508207_class_033,sprs_508207_subject_615,sprs_508207_teacher_602,8,8/23/2003,2/4/2012
sprs_508207_class_435,sprs_508207_subject_743,sprs_508207_teacher_580,8,3/20/2013,2/25/2004
sprs_508207_class_315,sprs_508207_subject_624,sprs_508207_teacher_614,10,2/11/2012,8/28/2011
sprs_508207_class_917,sprs_508207_subject_343,sprs_508207_teacher_513,7,5/15/2016,6/26/2002
sprs_508207_class_790,sprs_508207_subject_910,sprs_508207_teacher_151,9,9/5/2013,2/24/2005
sprs_508207_class_409,sprs_508207_subject_550,sprs_508207_teacher_222,9,6/3/2011,1/20/2004
sprs_508207_class_677,sprs_508207_subject_894,sprs_508207_teacher_175,7,11/8/2014,9/17/2004
sprs_508207_class_491,sprs_508207_subject_449,sprs_508207_teacher_664,8,12/14/2000,3/15/2016
sprs_508207_class_286,sprs_508207_subject_280,sprs_508207_teacher_130,9,9/20/2015,8/14/2001
sprs_508207_class_840,sprs_508207_subject_889,sprs_508207_teacher_069,8,1/23/2009,10/24/2006
sprs_508207_class_577,sprs_508207_subject_900,sprs_508207_teacher_085,6,8/10/2013,7/26/2002
sprs_508207_class_824,sprs_508207_subject_255,sprs_508207_teacher_038,10,12/28/2001,5/31/2002
sprs_508207_class_334,sprs_508207_subject_739,sprs_508207_teacher_401,10,3/11/2015,11/26/2003
